slug,cluster_name,seed_phrase,seed_volume,min_position,url
dlya-ruchnoy-moyki,Для ручной мойки,автомобильный шампунь для ручной мойки,70,8,https://automoyka.ua/catalog/shampuni-dlya-ruchnoy-i-nano-moyki/
dlya-ruchnoy-moyki,Для ручной мойки,кислотный шампунь для авто,70,4,https://detailshop.ua/ru/acid-shampoo-a-kislotnii-shampun-dlia-keramichnih-lakiv-ta-pokrittiv-22-kg
dlya-ruchnoy-moyki,Для ручной мойки,кислотный шампунь для авто,70,5,https://drivecare.com.ua/ru/kyslotnyi-avtoshampun-dlia-avto-chto-to-y-kohda-eho-yspolzovat/
glina-i-avtoskraby,Глина и автоскрабы,химия для мойки авто,590,1,https://shop.cardetaillab.ua/category/khimiya
glina-i-avtoskraby,Глина и автоскрабы,химия для мойки авто,590,2,https://52.com.ua/catalog/mojka-mashin/
glina-i-avtoskraby,Глина и автоскрабы,химия для мойки авто,590,4,https://automoyka.ua/catalog/beskontaktnaya_moyka/
glina-i-avtoskraby,Глина и автоскрабы,химия для мойки авто,590,7,https://glosspoint.com.ua/moyka-i-ekster-er/shampuni-dlya-ruchnoy-moyki/
glina-i-avtoskraby,Глина и автоскрабы,глина для авто,390,3,https://meguiars.com.ua/ru/glina-dlya-chistki-kuzova-meguiar-s-g1001eu-smooth-surface-clay-bar-brusok-80-g
glina-i-avtoskraby,Глина и автоскрабы,глина для авто,390,5,https://www.avtoradosti.com.ua/p/96093.html
glina-i-avtoskraby,Глина и автоскрабы,синяя глина для авто,140,6,https://detailvcar.com.ua/katalog/blue-clay/
glina-i-avtoskraby,Глина и автоскрабы,синяя глина для авто,140,8,https://ebrand.ua/ru/hlyna-i-lubrykanty/11364/
ochistiteli-diskov,Очистители дисков,средство для дисков,20,3,https://avtozvuk.ua/ochistiteli-diskov/c1265
ochistiteli-diskov,Очистители дисков,средство для дисков,20,2,https://automoyka.ua/catalog/sredstva-dlya-ochistki-diskov/
ochistiteli-diskov,Очистители дисков,химия для дисков,70,6,https://shop.cardetaillab.ua/category/dlya_koles/deystvie_ochistka/mesto-primeneniya-kolesa_diski
ochistiteli-diskov,Очистители дисков,химия для дисков,70,9,https://cordis.in.ua/ru/ochistitel-diskov
ochistiteli-diskov,Очистители дисков,средства для чистки дисков,50,6,https://avtoapteka.ua/avtohimiia/moiushchie-i-chistiashchie-sredstva/dlia-shin-i-diskov/
ochistiteli-diskov,Очистители дисков,средства для чистки дисков,50,7,https://ebrand.ua/ru/ochystka-kolisnykh-dyskiv/
ochistiteli-diskov,Очистители дисков,средства для чистки дисков,50,8,https://glosspoint.com.ua/moyka-i-ekster-er/ochistiteli-kolesnyh-diskov/
ochistiteli-diskov,Очистители дисков,средство для дисков,20,9,https://www.drive2.ru/l/500586479601320314/
ochistiteli-shin,Очистители шин,очиститель шин,70,2,https://chemicalguys.ua/ru/ochysnyk-kolis-i-dyskiv/
ochistiteli-shin,Очистители шин,очиститель шин,70,9,https://detailshop.ua/ru/p1940541375-carpro-retyre-500ml
ochistiteli-shin,Очистители шин,очиститель резины,10,5,https://glosspoint.com.ua/moyka-i-ekster-er/uhod-za-rezinoy-i-vneshnim-plastikom/
ochistiteli-shin,Очистители шин,средство для чистки шин,10,6,https://meguiars.com.ua/ru/shiny-i-kolesa
ochistiteli-stekol,Очистители стекол,средство для стекол авто,20,2,https://meguiars.com.ua/ru/steklo
ochistiteli-stekol,Очистители стекол,очиститель стекла авто,170,6,https://detailshop.ua/ru/g13574427-ochistiteli-stekol/
ochistiteli-stekol,Очистители стекол,средство для автомобильных стекол,20,5,https://glosspoint.com.ua/interjer/sredstva-dlya-stekol/
ochistiteli-stekol,Очистители стекол,очиститель стекла авто,170,9,https://autodetailing.ua/ru/catalog/categories/eksterer/glubokaya-chistka/stekla
ochistiteli-stekol,Очистители стекол,средство для стекол авто,20,4,https://automoyka.ua/catalog/ochistiteli-stekol/
ochistiteli-stekol,Очистители стекол,средство для автомобильных стекол,20,3,https://shop.cardetaillab.ua/category/dlya_stekol/deystvie_ochistka
ochistiteli-stekol,Очистители стекол,средство для автомобильных стекол,20,8,https://www.avtoradosti.com.ua/katalog-tovara/23505.html
ochistiteli-stekol,Очистители стекол,средство для автомобильных стекол,20,6,https://shinadiski.com.ua/sect/sredstva-dlya-avtostekol/
ochistiteli-stekol,Очистители стекол,средство для автомобильных стекол,20,7,https://temol.ua/ru/autocosmetics/glass-washers
ochistiteli-stekol,Очистители стекол,средство для автомобильных стекол,20,9,https://automoyka.ua/catalog/ochistiteli-stekol/
