slug,lang,keyword,volume,status,covered,covered_by,syn_match_method,lemma_coverage,reason
neytralizatory-zapakha,ru,удалить запах в салоне автомобиля,10,PARTIAL,False,,,0.5,50% lemmas found
obezzhirivateli,ru,обезжириватель для авто,590,EXACT,True,,,,
obezzhirivateli,ru,обезжириватель для кузова авто,30,EXACT,True,,,,
obezzhirivateli,ru,обезжириватель для авто перед полировкой,20,EXACT,True,,,,
obezzhirivateli,ru,обезжириватель кузова перед полировкой,10,EXACT,True,,,,
obezzhirivateli,ru,обезжириватель кузова перед мойкой,10,NORM,True,,,,
obezzhirivateli,ru,обезжириватель для полировки авто,10,NORM,True,,,,
oborudovanie,ru,оборудование для химчистки авто,90,NORM,True,,,,
oborudovanie,ru,оборудование для мойки автомобилей,10,NORM,True,,,,
oborudovanie,ru,оборудование для полировки автомобиля,10,EXACT,True,,,,
ochistiteli-diskov,ru,очиститель дисков,70,EXACT,True,,,,
ochistiteli-diskov,ru,химия для дисков,70,EXACT,True,,,,
ochistiteli-diskov,ru,средства для чистки дисков,50,EXACT,True,,,,
ochistiteli-diskov,ru,средство для очистки дисков,30,EXACT,True,,,,
ochistiteli-dvigatelya,ru,очиститель двигателя,480,EXACT,True,,,,
ochistiteli-dvigatelya,ru,химия для мойки двигателя,320,EXACT,True,,,,
ochistiteli-dvigatelya,ru,средства для мойки двигателя,260,EXACT,True,,,,
ochistiteli-dvigatelya,ru,очиститель двигателя от масла и грязи,210,EXACT,True,,,,
ochistiteli-dvigatelya,ru,средство для мытья двигателя,140,EXACT,True,,,,
ochistiteli-dvigatelya,ru,очиститель двигателя от масляных загрязнений,110,LEMMA,True,,,,
ochistiteli-kozhi,ru,очиститель кожи автомобиля,170,NORM,True,,,,
ochistiteli-kozhi,ru,средство для чистки кожи авто,70,EXACT,True,,,,
ochistiteli-kozhi,ru,средства для чистки кожаного салона автомобиля,40,EXACT,True,,,,
ochistiteli-kozhi,ru,химия для чистки кожи авто,20,EXACT,True,,,,
ochistiteli-kozhi,ru,средство для очистки кожи авто,20,NORM,True,,,,
ochistiteli-kozhi,ru,средства для чистки кожаного салона,20,EXACT,True,,,,
ochistiteli-kozhi,ru,средство для кожи салона,10,PARTIAL,False,,,1.0,100% lemmas found
ochistiteli-kozhi,ru,средство для очистки кожи салона,10,PARTIAL,False,,,1.0,100% lemmas found
ochistiteli-shin,ru,очиститель шин,70,NORM,True,,,,
ochistiteli-shin,ru,очиститель резины,10,NORM,True,,,,
ochistiteli-stekol,ru,очиститель стекла авто,210,LEMMA,True,,,,
ochistiteli-stekol,ru,очиститель лобового стекла,90,EXACT,True,,,,
ochistiteli-stekol,ru,средство для стекол авто,40,EXACT,True,,,,
omyvatel,ru,омыватель стекла зимний,1000,EXACT,True,,,,
omyvatel,ru,омыватель стекла,720,EXACT,True,,,,
omyvatel,ru,омыватель,260,EXACT,True,,,,
omyvatel,ru,омыватель стекла летний,140,EXACT,True,,,,
omyvatel,ru,стеклоомыватель,110,EXACT,True,,,,
omyvatel,ru,омыватель лобового стекла,110,EXACT,True,,,,
omyvatel,ru,омыватель для стекол,50,NORM,True,,,,
omyvatel,ru,омыватель для машины,30,EXACT,True,,,,
omyvatel,ru,омыватель заднего стекла,20,EXACT,True,,,,
omyvatel,ru,омыватель стекла антимошка,10,NORM,True,,,,
opt-i-b2b,ru,автохимия опт,90,NORM,True,,,,
opt-i-b2b,ru,автохимия от производителя,10,EXACT,True,,,,
opt-i-b2b,ru,автохимия производство,10,EXACT,True,,,,
opt-i-b2b,ru,автохимия поставщики,10,NORM,True,,,,
opt-i-b2b,ru,автокосметика оптом,10,EXACT,True,,,,
opt-i-b2b,ru,химия для автомоек оптом,10,NORM,True,,,,
polirol-dlya-stekla,ru,полироль для стекла,590,NORM,True,,,,
polirol-dlya-stekla,ru,полироль для стекла авто,50,NORM,True,,,,
polirol-dlya-stekla,ru,средство для полировки лобового стекла,30,EXACT,True,,,,
poliroli-dlya-plastika,ru,полироль для салона автомобиля,390,NORM,True,,,,
poliroli-dlya-plastika,ru,полироль для пластика автомобиля,320,NORM,True,,,,
poliroli-dlya-plastika,ru,полироль для торпеды,260,EXACT,True,,,,
poliroli-dlya-plastika,ru,полироль для панели авто,170,NORM,True,,,,
polirovalnye-pasty,ru,полировочная паста,1600,NORM,True,,,,
polirovalnye-pasty,ru,паста для полировки,320,LEMMA,True,,,,
polirovalnye-pasty,ru,полировочная паста для авто от царапин,260,NORM,True,,,,
polirovalnye-pasty,ru,паста для полировки кузова,40,LEMMA,True,,,,
polirovalnye-pasty,ru,набор паст для полировки авто,20,EXACT,True,,,,
polirovalnye-pasty,ru,паста для полировки авто машинкой,10,LEMMA,True,,,,
polirovka,ru,полировка авто,2400,NORM,True,,,,
polirovka,ru,полировка кузова,480,LEMMA,True,,,,
polirovka,ru,набор для полировки авто,480,EXACT,True,,,,
polirovka,ru,средства для полировки авто,50,EXACT,True,,,,
polirovka,ru,полировка авто своими руками,40,LEMMA,True,,,,
pyatnovyvoditeli,ru,пятновыводитель,2400,EXACT,True,,,,
pyatnovyvoditeli,ru,пятновыводитель для салона авто,10,EXACT,True,,,,
pyatnovyvoditeli,ru,пятновыводитель для сидений авто,10,EXACT,True,,,,
raspyliteli-i-penniki,ru,пенообразователи для мойки,260,NORM,True,,,,
raspyliteli-i-penniki,ru,помповый распылитель для мойки авто,260,NORM,True,,,,
raspyliteli-i-penniki,ru,пенообразователь для мойки высокого давления,70,EXACT,True,,,,
raspyliteli-i-penniki,ru,распылитель для мойки авто,50,EXACT,True,,,,
raspyliteli-i-penniki,ru,пенник для минимойки,10,EXACT,True,,,,
raspyliteli-i-penniki,ru,авто триггер,10,EXACT,True,,,,
shampuni-dlya-ruchnoy-moyki,ru,автошампунь для ручной мойки,390,NORM,True,,,,
shampuni-dlya-ruchnoy-moyki,ru,шампунь для ручной мойки авто,110,NORM,True,,,,
shampuni-dlya-ruchnoy-moyki,ru,автомобильный шампунь для ручной мойки,70,EXACT,True,,,,
shchetka-dlya-moyki-avto,ru,щетка для мойки авто,480,EXACT,True,,,,
shchetka-dlya-moyki-avto,ru,щетка для мытья машины,390,LEMMA,True,,,,
shchetka-dlya-moyki-avto,ru,щетка для автомобиля,320,NORM,True,,,,
shchetka-dlya-moyki-avto,ru,мягкие щетки для мытья машины,110,NORM,True,,,,
shchetka-dlya-moyki-avto,ru,щетка скребок для авто,70,NORM,True,,,,
shchetka-dlya-moyki-avto,ru,щетка для мытья дисков авто,10,NORM,True,,,,
silanty,ru,силант,50,EXACT,True,,,,
silanty,ru,силанты для авто,40,NORM,True,,,,
silanty,ru,силант для кузова,10,EXACT,True,,,,
sredstva-dlya-khimchistki-salona,ru,химия для чистки салона,590,NORM,True,,,,
sredstva-dlya-khimchistki-salona,ru,химия для химчистки авто,390,EXACT,True,,,,
sredstva-dlya-khimchistki-salona,ru,средство для чистки салона авто,390,EXACT,True,,,,
sredstva-dlya-khimchistki-salona,ru,химия для салона авто,320,EXACT,True,,,,
sredstva-dlya-khimchistki-salona,ru,средство для химчистки салона авто,260,EXACT,True,,,,
sredstva-dlya-khimchistki-salona,ru,автохимия для салона,210,EXACT,True,,,,
sredstva-dlya-khimchistki-salona,ru,профессиональная химия для чистки салона авто,210,PARTIAL,False,,,1.0,100% lemmas found
sredstva-dlya-khimchistki-salona,ru,очиститель салона автомобиля,170,NORM,True,,,,
sredstva-dlya-khimchistki-salona,ru,средство для чистки сидений авто,90,NORM,True,,,,
sredstva-dlya-khimchistki-salona,ru,средство для чистки тканевого салона автомобиля,20,PARTIAL,False,,,0.8333333333333334,83% lemmas found
sredstva-dlya-khimchistki-salona,ru,средство для чистки обивки салона автомобиля,10,PARTIAL,False,,,1.0,100% lemmas found
sredstva-dlya-khimchistki-salona,ru,средства для чистки потолка автомобиля,10,PARTIAL,False,,,1.0,100% lemmas found
sredstva-dlya-khimchistki-salona,ru,химия для текстиля авто,10,PARTIAL,False,,,1.0,100% lemmas found
sredstva-dlya-kozhi,ru,средство для кожи авто,280,EXACT,True,,,,
sredstva-dlya-kozhi,ru,полироль для кожи автомобиля,50,NORM,True,,,,
sredstva-dlya-kozhi,ru,химия для кожи авто,50,EXACT,True,,,,
sredstva-dlya-kozhi,ru,крем для кожи автомобиля,40,NORM,True,,,,
sredstva-dlya-kozhi,ru,средство для кожаного салона,40,EXACT,True,,,,
sredstva-dlya-kozhi,ru,средство для чистки кожаного салона авто,30,EXACT,True,,,,
sredstva-dlya-kozhi,ru,автокосметика для кожи,10,PARTIAL,False,,,0.6666666666666666,66% lemmas found
tverdyy-vosk,ru,твёрдый воск для авто,1000,NORM,True,,,,
tverdyy-vosk,ru,твёрдый воск,390,EXACT,True,,,,
tverdyy-vosk,ru,твёрдый воск для полировки авто,10,EXACT,True,,,,
ukhod-za-intererom,ru,химчистка салона авто,320,NORM,True,,,,
ukhod-za-intererom,ru,уход за салоном авто,170,NORM,True,,,,
ukhod-za-intererom,ru,средства для салона автомобиля,90,EXACT,True,,,,
ukhod-za-intererom,ru,автохимия для салона,30,EXACT,True,,,,
ukhod-za-intererom,ru,автокосметика для салона,10,EXACT,True,,,,
ukhod-za-kozhey,ru,уход за кожей авто,210,EXACT,True,,,,
ukhod-za-kozhey,ru,полироль для кожи,170,NORM,True,,,,
ukhod-za-kozhey,ru,лучшее средство по уходу за кожей авто,140,NORM,True,,,,
ukhod-za-kozhey,ru,средство по уходу за кожей авто,90,EXACT,True,,,,
ukhod-za-kozhey,ru,полироль для кожи авто,90,NORM,True,,,,
ukhod-za-kozhey,ru,крем для кожи авто,70,NORM,True,,,,
ukhod-za-kozhey,ru,набор для ухода за кожей авто,30,NORM,True,,,,
ukhod-za-kozhey,ru,уход за кожей салона авто,20,SYNONYM,True,уход за кожей салона,EXACT,,
ukhod-za-naruzhnym-plastikom,ru,полироль для наружного пластика авто,40,NORM,True,,,,
ukhod-za-naruzhnym-plastikom,ru,восстановитель пластика авто,10,EXACT,True,,,,
ukhod-za-naruzhnym-plastikom,ru,чернитель для наружного пластика,10,EXACT,True,,,,
ukhod-za-naruzhnym-plastikom,ru,уход за бамперами,10,EXACT,True,,,,
vedra-i-emkosti,ru,ведро для мойки автомобиля,90,EXACT,True,,,,
vedra-i-emkosti,ru,ведро для детейлинга,30,NORM,True,,,,
vedra-i-emkosti,ru,ведро с сеткой для мойки,10,EXACT,True,,,,
vedra-i-emkosti,ru,профессиональное ведро для мойки,10,EXACT,True,,,,
voski,ru,воск для авто,1600,NORM,True,,,,
voski,ru,воск для машины,210,EXACT,True,,,,
voski,ru,воск автомобильный,90,EXACT,True,,,,
voski,ru,воск для полировки авто,90,EXACT,True,,,,
voski,ru,воск для мойки авто,70,EXACT,True,,,,
voski,ru,воск для кузова авто,50,EXACT,True,,,,
voski,ru,восковый полироль для авто,50,EXACT,True,,,,
zashchitnye-pokrytiya,ru,полимер для авто,140,NORM,True,,,,
zashchitnye-pokrytiya,ru,защитные покрытия для авто,70,EXACT,True,,,,
zashchitnye-pokrytiya,ru,покрытие для автомобиля,10,EXACT,True,,,,
zhidkiy-vosk,ru,жидкий воск для авто,480,EXACT,True,,,,
zhidkiy-vosk,ru,жидкий воск,320,EXACT,True,,,,
zhidkiy-vosk,ru,жидкий воск для кузова,10,EXACT,True,,,,
zhidkiy-vosk,ru,жидкий воск для мойки авто,10,NORM,True,,,,
zhidkiy-vosk,ru,жидкий воск для автомойки,10,NORM,True,,,,
