slug,status,primary_keyword,primary_volume,current_h1,expected_h1,fix_needed,lang
poliroli-dlya-plastika,OK,Поліролі для пластику,0,Поліролі для пластику,Поліроли для пластику,False,uk
polirovalnye-krugi,OK,круги для полірування авто,720,Круги для полірування авто,Круги для полірування авто,False,uk
polirovalnye-mashinki,OK,Полірувальні машини для авто,0,Полірувальні машини для авто,Полірувальні машини для авто,False,uk
polirovalnye-pasty,OK,паста для полірування авто,720,Пасти для полірування авто,Пасти для полірування авто,False,uk
polirovka,OK,полірування авто,1300,Полірування авто,Полірування авто,False,uk
pyatnovyvoditeli,OK,плямовивідник,2400,Плямовивідники,Плямовивідники,False,uk
raspyliteli-i-penniki,OK,Розпилювачі та піноутворювачі,0,Розпилювачі та піноутворювачі,Розпилювачі та піноутворювачі,False,uk
shampuni-dlya-ruchnoy-moyki,OK,Засоби для миття автомобіля,0,Засоби для миття автомобіля,Засоби для миття автомобіля,False,uk
shchetka-dlya-moyki-avto,OK,щітка для миття авто,1000,Щітки для миття авто,Щітки для миття авто,False,uk
silanty,OK,силант,50,Силанти для авто,Силанти,False,uk
sredstva-dlya-khimchistki-salona,OK,Засоби для хімчистки салону автомобіля,0,Засоби для хімчистки салону автомобіля,Засоби для хімчистки салону автомобіля,False,uk
sredstva-dlya-kozhi,OK,засоби для шкіри авто,280,Засоби для шкіри авто,Засоби для шкіри авто,False,uk
tverdyy-vosk,OK,твердий віск для авто,1300,Твердий віск для авто,Тверді воски для авто,False,uk
ukhod-za-intererom,OK,хімчистка салону авто,320,Хімчистка салону авто,Хімчистки салону авто,False,uk
ukhod-za-kozhey,OK,догляд за шкірою авто,210,Догляд за шкірою авто,Догляд за шкірою авто,False,uk
ukhod-za-naruzhnym-plastikom,OK,відновлювач пластику авто,110,Відновлювачі пластику авто,Відновлювачі пластику авто,False,uk
vedra-i-emkosti,OK,Відра та ємності,0,Відра та ємності,Відра та ємності,False,uk
voski,OK,віск для авто,1000,Воски для авто,Воски для авто,False,uk
zashchitnye-pokrytiya,OK,захисне покриття для авто,90,Захисні покриття для авто,Захисні покриття для авто,False,uk
zhidkiy-vosk,OK,рідкий віск для авто,320,Рідкі воски для авто,Рідкі воски для авто,False,uk
